route_id,service_id,trip_id
U1800,weekday,weekday_U1800_U180001_3
U1800,weekday,weekday_U1800_U180002_4
U1800,weekday,weekday_U1800_U180001_4
U1800,weekday,weekday_U1800_U180002_5
U1800,weekday,weekday_U1800_U180001_5
U1800,weekday,weekday_U1800_U180002_6
U1800,weekday,weekday_U1800_U180001_6
U1800,weekday,weekday_U1800_U180002_7
U1800,weekday,weekday_U1800_U180001_7
U1800,weekday,weekday_U1800_U180002_8
U1800,weekday,weekday_U1800_U180001_8
U1800,weekday,weekday_U1800_U180002_9
U1800,weekday,weekday_U1800_U180001_9
U1800,weekday,weekday_U1800_U180002_10
U1800,weekday,weekday_U1800_U180001_10
U1800,weekday,weekday_U1800_U180002_11
U1800,weekday,weekday_U1800_U180001_11
U1800,weekday,weekday_U1800_U180002_12
U1800,weekday,weekday_U1800_U180001_12
U1800,weekday,weekday_U1800_U180002_13
U1800,weekday,weekday_U1800_U180001_13
U1800,weekday,weekday_U1800_U180002_14
U1800,weekday,weekday_U1800_U180001_14
U1800,weekday,weekday_U1800_U180002_15
U1800,weekday,weekday_U1800_U180001_15
U1800,weekend,weekend_U1800_U180002_0
U1800,weekend,weekend_U1800_U180001_0
U1800,weekend,weekend_U1800_U180002_1
U1800,weekend,weekend_U1800_U180001_1
U1800,weekend,weekend_U1800_U180002_2
U1800,weekend,weekend_U1800_U180001_2
U1800,weekend,weekend_U1800_U180002_3
U1800,weekend,weekend_U1800_U180001_3
U1800,weekend,weekend_U1800_U180002_4
U1800,weekend,weekend_U1800_U180001_4
U1800,weekend,weekend_U1800_U180002_5
U1800,weekend,weekend_U1800_U180001_5
U7720,weekend,weekend_U7720_U772002_0
U7720,weekend,weekend_U7720_U772001_0
U7720,weekend,weekend_U7720_U772002_1
U7720,weekend,weekend_U7720_U772001_1
U7720,weekend,weekend_U7720_U772002_2
U7720,weekend,weekend_U7720_U772001_2
U7720,weekend,weekend_U7720_U772002_3
U7720,weekend,weekend_U7720_U772001_3
U7720,weekend,weekend_U7720_U772002_4
U7720,weekend,weekend_U7720_U772001_4
U7720,weekend,weekend_U7720_U772002_5
U7720,weekend,weekend_U7720_U772001_5
U7720,weekend,weekend_U7720_U772002_6
U7720,weekend,weekend_U7720_U772001_6
U7720,weekend,weekend_U7720_U772002_7
U7720,weekend,weekend_U7720_U772001_7
U7720,weekend,weekend_U7720_U772002_8
U7720,weekend,weekend_U7720_U772001_8
U7720,weekend,weekend_U7720_U772002_9
U7720,weekend,weekend_U7720_U772001_9
U7720,weekend,weekend_U7720_U772002_10
U7720,weekend,weekend_U7720_U772001_10
U7720,weekend,weekend_U7720_U772002_11
U7720,weekend,weekend_U7720_U772001_11
U7720,weekend,weekend_U7720_U772001_12
S6060,weekday,weekday_S6060_S606002_0
S6060,weekday,weekday_S6060_S606002_1
S6060,weekday,weekday_S6060_S606002_2
S6060,weekday,weekday_S6060_S606002_3
S6060,weekday,weekday_S6060_S606002_4
S6060,weekday,weekday_S6060_S606002_5
S6060,weekday,weekday_S6060_S606002_6
U8020,weekday,weekday_U8020_U802002_0
U8020,weekday,weekday_U8020_U802002_1
U8020,weekday,weekday_U8020_U802002_2
U8020,weekday,weekday_U8020_U802002_3
U8020,weekday,weekday_U8020_U802002_4
U8020,weekday,weekday_U8020_U802002_5
U8020,weekday,weekday_U8020_U802002_6
U8020,weekday,weekday_U8020_U802002_7
U8020,weekday,weekday_U8020_U802002_8
U8020,weekday,weekday_U8020_U802002_9
U8020,weekday,weekday_U8020_U802002_10
U8020,weekday,weekday_U8020_U802002_11
U8020,weekday,weekday_U8020_U802002_12
U8020,weekday,weekday_U8020_U802002_13
U8020,weekday,weekday_U8020_U802002_14
U8020,weekday,weekday_U8020_U802002_15
U5410,weekday,weekday_U5410_U541002_0
U5410,weekday,weekday_U5410_U541002_1
